自然地理与行政区划_镇个数,地区生产总值                                                                                        
全市规模以上工业企业分行业主要经济指标_生产经营用_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_生产经营用_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_医药制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_生产经营用_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_生产经营用_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_生产经营用_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_生产经营用_金属制品业,
全市规模以上工业企业分行业主要经济指标_生产经营用_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_汽车制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_生产经营用_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_生产经营用_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_生产经营用_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_生产经营用_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_本年折旧_总计,
全市规模以上工业企业分行业主要经济指标_本年折旧_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_本年折旧_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_本年折旧_食品制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_饮料制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_纺织业,
全市规模以上工业企业分行业主要经济指标_本年折旧_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_本年折旧_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_本年折旧_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_本年折旧_家具制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_本年折旧_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_本年折旧_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_本年折旧_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_医药制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_本年折旧_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_本年折旧_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_本年折旧_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_本年折旧_金属制品业,
全市规模以上工业企业分行业主要经济指标_本年折旧_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_汽车制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_本年折旧_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_本年折旧_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_本年折旧_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_本年折旧_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_总计,
全市规模以上工业企业分行业主要经济指标_固定资产净值_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_食品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_饮料制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_纺织业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_纺织服装服饰业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_固定资产净值_家具制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_固定资产净值_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_医药制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_金属制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_汽车制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_总计,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_食品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_饮料制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_纺织业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_纺织服装、服饰制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_家具制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_医药制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_金属制品业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_汽车制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_固定资产净值年平均余额_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_负债合计_总计,
全市规模以上工业企业分行业主要经济指标_负债合计_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_负债合计_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_负债合计_食品制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_饮料制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_纺织业,
全市规模以上工业企业分行业主要经济指标_负债合计_纺织服装、服饰制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_负债合计_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_负债合计_家具制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_负债合计_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_负债合计_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_负债合计_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_医药制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_负债合计_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_负债合计_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_负债合计_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_负债合计_金属制品业,
全市规模以上工业企业分行业主要经济指标_负债合计_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_汽车制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_负债合计_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_负债合计_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_负债合计_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_负债合计_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_流动负债_总计,
全市规模以上工业企业分行业主要经济指标_流动负债_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_流动负债_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_流动负债_食品制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_饮料制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_纺织业,
全市规模以上工业企业分行业主要经济指标_流动负债_纺织服装服饰制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_流动负债_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_流动负债_家具制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_流动负债_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_流动负债_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_流动负债_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_医药制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_流动负债_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_流动负债_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_流动负债_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_流动负债_金属制品业,
全市规模以上工业企业分行业主要经济指标_流动负债_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_汽车制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_流动负债_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_流动负债_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_流动负债_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_流动负债_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_长期负债_总计,
全市规模以上工业企业分行业主要经济指标_长期负债_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_长期负债_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_长期负债_食品制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_饮料制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_纺织业,
全市规模以上工业企业分行业主要经济指标_长期负债_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_长期负债_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_长期负债_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_长期负债_家具制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_长期负债_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_长期负债_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_长期负债_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_医药制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_长期负债_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_长期负债_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_长期负债_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_长期负债_金属制品业,
全市规模以上工业企业分行业主要经济指标_长期负债_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_汽车制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_长期负债_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_长期负债_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_长期负债_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_长期负债_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_所有者权益_总计,
全市规模以上工业企业分行业主要经济指标_所有者权益_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_所有者权益_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_所有者权益_食品制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_饮料制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_纺织业,
全市规模以上工业企业分行业主要经济指标_所有者权益_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_所有者权益_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_所有者权益_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_所有者权益_家具制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_所有者权益_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_所有者权益_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_所有者权益_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_医药制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_所有者权益_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_所有者权益_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_所有者权益_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_所有者权益_金属制品业,
全市规模以上工业企业分行业主要经济指标_所有者权益_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_汽车制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_所有者权益_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_所有者权益_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_所有者权益_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_所有者权益_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_总计,
全市规模以上工业企业分行业主要经济指标_主营业务收入_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_食品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_饮料制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_纺织业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_主营业务收入_家具制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_主营业务收入_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_医药制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_金属制品业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_汽车制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务收入_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_总计,
全市规模以上工业企业分行业主要经济指标_主营业务成本_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_食品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_饮料制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_纺织业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_主营业务成本_家具制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_主营业务成本_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_医药制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_金属制品业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_汽车制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_仪器仪表及文化、办公用机械制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_工艺品及其他制造业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_废弃资源和废旧材料回收加工业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_电力、热力的生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_燃气生产和供应业,
全市规模以上工业企业分行业主要经济指标_主营业务成本_水的生产和供应业,
全市规模以上工业企业分行业主要经济指标_营业费用_总计,
全市规模以上工业企业分行业主要经济指标_营业费用_非金属矿采选业,
全市规模以上工业企业分行业主要经济指标_营业费用_农副食品加工业,
全市规模以上工业企业分行业主要经济指标_营业费用_食品制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_饮料制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_纺织业,
全市规模以上工业企业分行业主要经济指标_营业费用_纺织服装、服饰业,
全市规模以上工业企业分行业主要经济指标_营业费用_皮革、毛皮、羽毛(绒)及其制品业,
全市规模以上工业企业分行业主要经济指标_营业费用_木材加工及木、竹、藤、棕、草制品,
全市规模以上工业企业分行业主要经济指标_营业费用_家具制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_造纸及纸制品业,
全市规模以上工业企业分行业主要经济指标_营业费用_印刷业和记录媒介的复制,
全市规模以上工业企业分行业主要经济指标_营业费用_文教体育用品制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_石油加工、炼焦及核燃料加工业,
全市规模以上工业企业分行业主要经济指标_营业费用_化学原料及化学制品制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_医药制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_化学纤维制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_橡胶和塑料制品业,
全市规模以上工业企业分行业主要经济指标_营业费用_非金属矿物制品业,
全市规模以上工业企业分行业主要经济指标_营业费用_黑色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_营业费用_有色金属冶炼及压延加工业,
全市规模以上工业企业分行业主要经济指标_营业费用_金属制品业,
全市规模以上工业企业分行业主要经济指标_营业费用_通用设备制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_专用设备制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_汽车制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_铁路、船舶、航空航天和其他运输设备制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_电气机械及器材制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_通信设备、计算机及其他电子设备制造业,
全市规模以上工业企业分行业主要经济指标_营业费用_仪器仪表及文化、办公用机械制造业,
